Respondent ID,Timestamp,Age Group,Gender,Region,Question,Preferred Tool,Satisfaction (1-5),Feedback
R0061,2025-04-29 02:38:28,35-44,Female,East,Which data tool do you prefer for analytics tasks?,R,3,Good for statistics
R0062,2025-01-13 02:40:02,45-54,Other,Central,Which data tool do you prefer for analytics tasks?,Excel,2,Great for day to day analysis
R0063,2025-01-17 12:42:25,25-34,Other,East,Which data tool do you prefer for analytics tasks?,Python,4,Python is flexible and powerful
R0064,2025-01-21 15:57:13,25-34,Female,East,Which data tool do you prefer for analytics tasks?,Excel,3,Great for day to day analysis
R0065,2025-01-02 20:11:32,35-44,Other,Central,Which data tool do you prefer for analytics tasks?,Python,4,Great for automation and analysis
R0066,2025-01-15 03:53:49,18-24,Male,East,Which data tool do you prefer for analytics tasks?,Python,3,Best for data science projects
R0067,2025-02-06 22:01:16,55+,Male,East,Which data tool do you prefer for analytics tasks?,Python,4,Python is flexible and powerful
R0068,2025-03-06 17:47:12,35-44,Male,East,Which data tool do you prefer for analytics tasks?,Python,3,Great for automation and analysis
R0069,2025-04-17 10:04:25,18-24,Male,West,Which data tool do you prefer for analytics tasks?,Power BI,3,Strong dashboard experience
R0070,2025-03-23 09:32:15,18-24,Female,South,Which data tool do you prefer for analytics tasks?,Power BI,4,Strong dashboard experience
R0071,2025-03-13 00:21:07,45-54,Other,West,Which data tool do you prefer for analytics tasks?,Excel,5,Easy for quick reports
R0072,2025-03-11 01:18:42,18-24,Other,South,Which data tool do you prefer for analytics tasks?,Excel,5,Useful for beginners
R0073,2025-02-25 04:38:24,55+,Other,South,Which data tool do you prefer for analytics tasks?,Python,3,Python is flexible and powerful
R0074,2025-04-26 13:01:38,35-44,Female,North,Which data tool do you prefer for analytics tasks?,Python,4,Python is flexible and powerful
R0075,2025-02-15 20:23:05,25-34,Other,North,Which data tool do you prefer for analytics tasks?,Python,5,Great for automation and analysis
R0076,2025-04-29 08:37:09,55+,Other,South,Which data tool do you prefer for analytics tasks?,Python,4,Python is flexible and powerful
R0077,2025-01-23 12:05:40,25-34,Female,North,Which data tool do you prefer for analytics tasks?,Excel,4,Useful for beginners
R0078,2025-04-11 03:56:08,25-34,Female,South,Which data tool do you prefer for analytics tasks?,Python,2,Great for automation and analysis
R0079,2025-01-26 16:45:32,18-24,Female,South,Which data tool do you prefer for analytics tasks?,Power BI,4,Useful for business reporting
R0080,2025-01-04 07:01:53,35-44,Male,South,Which data tool do you prefer for analytics tasks?,Python,3,Great for automation and analysis
R0081,2025-04-09 10:09:45,35-44,Female,North,Which data tool do you prefer for analytics tasks?,Excel,3,Useful for beginners
R0082,2025-02-12 01:00:17,55+,Female,Central,Which data tool do you prefer for analytics tasks?,Power BI,4,Strong dashboard experience
R0083,2025-02-03 01:23:34,35-44,Male,Central,Which data tool do you prefer for analytics tasks?,Tableau,5,Very good for storytelling
R0084,2025-04-04 11:25:14,55+,Female,East,Which data tool do you prefer for analytics tasks?,Python,5,Great for automation and analysis
R0085,2025-02-19 20:59:34,55+,Other,North,Which data tool do you prefer for analytics tasks?,Python,2,Python is flexible and powerful
R0086,2025-01-01 18:55:46,35-44,Male,West,Which data tool do you prefer for analytics tasks?,Excel,5,Great for day to day analysis
R0087,2025-01-09 12:01:19,25-34,Female,West,Which data tool do you prefer for analytics tasks?,Power BI,4,Interactive visuals are helpful
R0088,2025-04-03 10:56:03,35-44,Other,North,Which data tool do you prefer for analytics tasks?,Python,5,Best for data science projects
R0089,2025-02-11 14:39:03,35-44,Other,West,Which data tool do you prefer for analytics tasks?,Python,4,Best for data science projects
R0090,2025-01-25 15:18:28,35-44,Other,South,Which data tool do you prefer for analytics tasks?,Python,4,Best for data science projects
R0091,2025-03-20 20:43:13,45-54,Other,South,Which data tool do you prefer for analytics tasks?,Python,4,Great for automation and analysis
R0092,2025-02-08 10:26:46,45-54,Other,North,Which data tool do you prefer for analytics tasks?,Power BI,2,Strong dashboard experience
R0093,2025-03-25 11:43:57,45-54,Other,Central,Which data tool do you prefer for analytics tasks?,Power BI,4,Useful for business reporting
R0094,2025-03-07 17:13:41,45-54,Female,South,Which data tool do you prefer for analytics tasks?,Python,3,Best for data science projects
R0095,2025-02-06 18:46:01,25-34,Other,North,Which data tool do you prefer for analytics tasks?,Excel,4,Great for day to day analysis
R0096,2025-04-15 08:33:04,55+,Female,North,Which data tool do you prefer for analytics tasks?,Tableau,5,Fast for interactive charts
R0097,2025-01-19 00:53:21,35-44,Male,South,Which data tool do you prefer for analytics tasks?,Power BI,3,Strong dashboard experience
R0098,2025-04-19 02:39:05,25-34,Female,Central,Which data tool do you prefer for analytics tasks?,Excel,4,Useful for beginners
R0099,2025-01-25 13:58:48,45-54,Other,Central,Which data tool do you prefer for analytics tasks?,Python,4,Great for automation and analysis
R0100,2025-03-25 00:12:06,45-54,Male,South,Which data tool do you prefer for analytics tasks?,Power BI,3,Strong dashboard experience
R0101,2025-04-13 18:51:29,45-54,Male,South,Which data tool do you prefer for analytics tasks?,Tableau,5,Beautiful dashboards
R0102,2025-04-28 04:25:06,18-24,Other,South,Which data tool do you prefer for analytics tasks?,Excel,4,Useful for beginners
R0103,2025-03-13 21:40:47,25-34,Female,Central,Which data tool do you prefer for analytics tasks?,Python,3,Great for automation and analysis
R0104,2025-02-24 19:56:50,45-54,Other,Central,Which data tool do you prefer for analytics tasks?,Python,4,Great for automation and analysis
R0105,2025-02-27 09:26:12,25-34,Other,West,Which data tool do you prefer for analytics tasks?,Power BI,3,Strong dashboard experience
R0106,2025-03-22 08:42:38,35-44,Other,West,Which data tool do you prefer for analytics tasks?,R,4,Helpful for research analysis
R0107,2025-01-31 09:53:34,45-54,Male,East,Which data tool do you prefer for analytics tasks?,R,3,Helpful for research analysis
R0108,2025-01-18 05:29:29,35-44,Other,North,Which data tool do you prefer for analytics tasks?,Excel,4,Easy for quick reports
R0109,2025-04-01 07:47:23,45-54,Other,South,Which data tool do you prefer for analytics tasks?,Tableau,3,Very good for storytelling
R0110,2025-03-11 16:57:49,45-54,Female,East,Which data tool do you prefer for analytics tasks?,Power BI,3,Useful for business reporting
R0111,2025-02-19 21:15:56,18-24,Male,West,Which data tool do you prefer for analytics tasks?,R,4,Useful for academic work
R0112,2025-03-03 00:12:52,18-24,Other,West,Which data tool do you prefer for analytics tasks?,Python,5,Great for automation and analysis
R0113,2025-03-10 19:53:02,35-44,Female,West,Which data tool do you prefer for analytics tasks?,Power BI,4,Interactive visuals are helpful
R0114,2025-02-04 15:52:05,25-34,Female,South,Which data tool do you prefer for analytics tasks?,Tableau,4,Beautiful dashboards
R0115,2025-03-27 14:43:14,18-24,Female,East,Which data tool do you prefer for analytics tasks?,Power BI,3,Interactive visuals are helpful
R0116,2025-03-21 19:26:48,25-34,Female,South,Which data tool do you prefer for analytics tasks?,Python,5,Python is flexible and powerful
R0117,2025-03-26 00:59:12,45-54,Other,Central,Which data tool do you prefer for analytics tasks?,Tableau,4,Very good for storytelling
R0118,2025-01-24 01:49:50,45-54,Male,West,Which data tool do you prefer for analytics tasks?,R,4,Helpful for research analysis
R0119,2025-02-28 11:54:00,45-54,Female,South,Which data tool do you prefer for analytics tasks?,Excel,5,Useful for beginners
R0120,2025-02-02 02:58:55,45-54,Female,West,Which data tool do you prefer for analytics tasks?,Power BI,4,Useful for business reporting
R0121,2025-01-07 12:44:30,18-24,Other,Central,Which data tool do you prefer for analytics tasks?,Power BI,4,Strong dashboard experience
R0122,2025-04-07 01:07:47,18-24,Other,North,Which data tool do you prefer for analytics tasks?,Python,4,Python is flexible and powerful
R0123,2025-01-20 08:41:06,25-34,Male,Central,Which data tool do you prefer for analytics tasks?,Excel,4,Easy for quick reports
R0124,2025-03-14 07:56:09,45-54,Other,North,Which data tool do you prefer for analytics tasks?,Python,3,Great for automation and analysis
R0125,2025-03-19 22:06:33,35-44,Female,South,Which data tool do you prefer for analytics tasks?,Excel,2,Great for day to day analysis
R0126,2025-01-14 21:04:09,18-24,Male,East,Which data tool do you prefer for analytics tasks?,Power BI,4,Strong dashboard experience
R0127,2025-02-20 07:13:15,35-44,Other,West,Which data tool do you prefer for analytics tasks?,Python,3,Python is flexible and powerful
R0128,2025-01-14 10:58:49,55+,Other,South,Which data tool do you prefer for analytics tasks?,Excel,3,Great for day to day analysis
R0129,2025-04-11 01:29:43,55+,Male,Central,Which data tool do you prefer for analytics tasks?,Tableau,4,Beautiful dashboards
R0130,2025-01-09 18:25:17,55+,Female,East,Which data tool do you prefer for analytics tasks?,Python,2,Best for data science projects
R0131,2025-04-16 17:50:51,35-44,Male,West,Which data tool do you prefer for analytics tasks?,Python,5,Python is flexible and powerful
R0132,2025-04-01 05:34:12,45-54,Female,West,Which data tool do you prefer for analytics tasks?,Power BI,5,Useful for business reporting
R0133,2025-03-25 09:50:00,25-34,Other,Central,Which data tool do you prefer for analytics tasks?,Tableau,4,Fast for interactive charts
R0134,2025-02-25 21:34:16,55+,Female,West,Which data tool do you prefer for analytics tasks?,Excel,4,Useful for beginners
R0135,2025-02-05 16:24:47,35-44,Male,North,Which data tool do you prefer for analytics tasks?,Tableau,3,Very good for storytelling
R0136,2025-03-27 13:47:54,45-54,Other,Central,Which data tool do you prefer for analytics tasks?,Python,2,Great for automation and analysis
R0137,2025-01-24 17:45:04,18-24,Female,East,Which data tool do you prefer for analytics tasks?,Python,3,Python is flexible and powerful
R0138,2025-02-05 21:42:19,35-44,Female,East,Which data tool do you prefer for analytics tasks?,Python,5,Best for data science projects
R0139,2025-03-08 06:57:22,35-44,Other,North,Which data tool do you prefer for analytics tasks?,Python,4,Python is flexible and powerful
R0140,2025-03-04 20:12:48,25-34,Other,West,Which data tool do you prefer for analytics tasks?,Power BI,2,Strong dashboard experience
R0141,2025-02-27 00:37:40,45-54,Other,West,Which data tool do you prefer for analytics tasks?,Power BI,4,Strong dashboard experience
R0142,2025-03-30 08:51:30,35-44,Male,West,Which data tool do you prefer for analytics tasks?,Power BI,5,Useful for business reporting
R0143,2025-03-12 19:19:48,55+,Female,West,Which data tool do you prefer for analytics tasks?,Excel,3,Useful for beginners
R0144,2025-02-12 12:48:32,45-54,Other,Central,Which data tool do you prefer for analytics tasks?,Tableau,2,Fast for interactive charts
R0145,2025-02-02 08:23:37,45-54,Female,East,Which data tool do you prefer for analytics tasks?,Python,3,Python is flexible and powerful
R0146,2025-04-06 19:30:36,25-34,Female,North,Which data tool do you prefer for analytics tasks?,Python,5,Best for data science projects
R0147,2025-04-05 17:37:44,25-34,Male,South,Which data tool do you prefer for analytics tasks?,Excel,2,Useful for beginners
R0148,2025-02-06 03:39:36,55+,Other,Central,Which data tool do you prefer for analytics tasks?,Excel,3,Easy for quick reports
R0149,2025-01-23 11:00:18,35-44,Male,East,Which data tool do you prefer for analytics tasks?,Excel,5,Easy for quick reports
R0150,2025-01-06 01:59:06,55+,Male,East,Which data tool do you prefer for analytics tasks?,Python,5,Best for data science projects
R0151,2025-03-23 17:52:20,35-44,Other,South,Which data tool do you prefer for analytics tasks?,Excel,4,Easy for quick reports
R0152,2025-03-02 17:25:46,18-24,Other,East,Which data tool do you prefer for analytics tasks?,Tableau,5,Beautiful dashboards
R0153,2025-02-02 17:23:36,35-44,Male,North,Which data tool do you prefer for analytics tasks?,Power BI,3,Strong dashboard experience
R0154,2025-01-10 21:00:31,18-24,Female,West,Which data tool do you prefer for analytics tasks?,Power BI,4,Interactive visuals are helpful
R0155,2025-04-14 20:29:32,18-24,Male,South,Which data tool do you prefer for analytics tasks?,R,2,Helpful for research analysis
R0156,2025-03-13 15:09:08,18-24,Male,North,Which data tool do you prefer for analytics tasks?,Power BI,5,Interactive visuals are helpful
R0157,2025-04-10 19:01:34,55+,Other,South,Which data tool do you prefer for analytics tasks?,Excel,4,Useful for beginners
R0158,2025-04-21 21:25:39,45-54,Female,East,Which data tool do you prefer for analytics tasks?,Excel,4,Useful for beginners
R0159,2025-01-08 22:11:45,35-44,Other,Central,Which data tool do you prefer for analytics tasks?,R,3,Useful for academic work
R0160,2025-02-03 02:57:21,18-24,Male,South,Which data tool do you prefer for analytics tasks?,Python,4,Python is flexible and powerful
R0161,2025-01-10 05:41:57,25-34,Male,Central,Which data tool do you prefer for analytics tasks?,Tableau,3,Very good for storytelling
R0162,2025-03-02 10:36:15,45-54,Female,Central,Which data tool do you prefer for analytics tasks?,Power BI,3,Strong dashboard experience
R0163,2025-03-31 16:31:50,25-34,Female,East,Which data tool do you prefer for analytics tasks?,Power BI,4,Strong dashboard experience
R0164,2025-03-26 07:12:08,25-34,Female,Central,Which data tool do you prefer for analytics tasks?,Tableau,4,Beautiful dashboards
R0165,2025-03-24 05:25:28,18-24,Other,South,Which data tool do you prefer for analytics tasks?,Python,4,Great for automation and analysis
R0166,2025-01-22 11:11:59,25-34,Male,North,Which data tool do you prefer for analytics tasks?,Tableau,3,Fast for interactive charts
R0167,2025-01-16 17:03:53,55+,Female,West,Which data tool do you prefer for analytics tasks?,R,2,Useful for academic work
R0168,2025-02-04 18:13:17,35-44,Other,West,Which data tool do you prefer for analytics tasks?,Tableau,2,Fast for interactive charts
R0169,2025-03-18 01:27:04,45-54,Female,North,Which data tool do you prefer for analytics tasks?,Excel,5,Useful for beginners
R0170,2025-01-04 03:19:30,35-44,Other,East,Which data tool do you prefer for analytics tasks?,Tableau,3,Very good for storytelling
R0171,2025-04-08 09:48:45,55+,Other,North,Which data tool do you prefer for analytics tasks?,Python,4,Best for data science projects
R0172,2025-03-08 23:43:14,18-24,Male,West,Which data tool do you prefer for analytics tasks?,Tableau,4,Beautiful dashboards
R0173,2025-02-25 23:06:42,35-44,Male,Central,Which data tool do you prefer for analytics tasks?,Excel,3,Useful for beginners
R0174,2025-02-22 12:08:07,18-24,Female,East,Which data tool do you prefer for analytics tasks?,Python,4,Great for automation and analysis
R0175,2025-02-22 18:02:22,18-24,Male,East,Which data tool do you prefer for analytics tasks?,R,3,Helpful for research analysis
R0176,2025-02-28 03:12:22,45-54,Other,North,Which data tool do you prefer for analytics tasks?,R,3,Helpful for research analysis
R0177,2025-04-09 14:42:56,35-44,Female,North,Which data tool do you prefer for analytics tasks?,R,5,Useful for academic work
R0178,2025-03-01 15:02:45,18-24,Other,Central,Which data tool do you prefer for analytics tasks?,Excel,4,Easy for quick reports
R0179,2025-03-21 18:08:58,25-34,Other,East,Which data tool do you prefer for analytics tasks?,Python,5,Best for data science projects
R0180,2025-02-04 19:59:47,45-54,Male,South,Which data tool do you prefer for analytics tasks?,Tableau,2,Very good for storytelling
R0181,2025-01-16 01:03:03,35-44,Female,West,Which data tool do you prefer for analytics tasks?,Tableau,3,Fast for interactive charts
R0182,2025-02-09 20:03:19,55+,Male,South,Which data tool do you prefer for analytics tasks?,Excel,3,Easy for quick reports
R0183,2025-01-29 04:07:51,55+,Female,North,Which data tool do you prefer for analytics tasks?,Excel,3,Useful for beginners
R0184,2025-03-05 10:37:34,18-24,Other,South,Which data tool do you prefer for analytics tasks?,Python,4,Best for data science projects
R0185,2025-03-02 08:52:26,35-44,Female,West,Which data tool do you prefer for analytics tasks?,Python,4,Great for automation and analysis
R0186,2025-01-25 21:49:21,55+,Male,West,Which data tool do you prefer for analytics tasks?,Python,5,Best for data science projects
R0187,2025-04-09 15:06:27,25-34,Male,East,Which data tool do you prefer for analytics tasks?,Python,3,Great for automation and analysis
R0188,2025-02-06 10:52:12,55+,Female,North,Which data tool do you prefer for analytics tasks?,Tableau,4,Fast for interactive charts
R0189,2025-04-21 05:24:36,55+,Other,West,Which data tool do you prefer for analytics tasks?,Power BI,5,Useful for business reporting
R0190,2025-02-12 20:05:40,55+,Female,East,Which data tool do you prefer for analytics tasks?,R,3,Useful for academic work
R0191,2025-04-22 06:52:07,45-54,Female,East,Which data tool do you prefer for analytics tasks?,R,3,Useful for academic work
R0192,2025-01-30 14:57:21,25-34,Other,West,Which data tool do you prefer for analytics tasks?,Python,5,Python is flexible and powerful
R0193,2025-04-01 13:52:48,35-44,Other,West,Which data tool do you prefer for analytics tasks?,Tableau,2,Beautiful dashboards
R0194,2025-01-17 18:17:16,25-34,Female,North,Which data tool do you prefer for analytics tasks?,R,5,Useful for academic work
R0195,2025-01-13 19:08:57,35-44,Male,West,Which data tool do you prefer for analytics tasks?,Python,3,Great for automation and analysis
R0196,2025-02-22 23:50:23,18-24,Other,South,Which data tool do you prefer for analytics tasks?,Excel,3,Easy for quick reports
R0197,2025-02-13 22:41:31,18-24,Female,East,Which data tool do you prefer for analytics tasks?,Python,5,Best for data science projects
R0198,2025-04-20 11:57:45,45-54,Other,North,Which data tool do you prefer for analytics tasks?,Power BI,4,Interactive visuals are helpful
R0199,2025-03-22 17:45:56,55+,Female,East,Which data tool do you prefer for analytics tasks?,R,2,Useful for academic work
R0200,2025-01-31 22:58:47,18-24,Other,North,Which data tool do you prefer for analytics tasks?,Tableau,3,Fast for interactive charts
R0201,2025-02-25 03:35:03,35-44,Male,North,Which data tool do you prefer for analytics tasks?,Python,4,Best for data science projects
R0202,2025-03-30 10:54:11,18-24,Female,South,Which data tool do you prefer for analytics tasks?,R,4,Good for statistics
R0203,2025-02-07 13:03:04,18-24,Female,North,Which data tool do you prefer for analytics tasks?,Python,4,Great for automation and analysis
R0204,2025-03-09 15:00:08,45-54,Male,South,Which data tool do you prefer for analytics tasks?,Excel,4,Great for day to day analysis
R0205,2025-01-11 22:11:27,25-34,Male,South,Which data tool do you prefer for analytics tasks?,Power BI,3,Useful for business reporting
R0206,2025-03-05 21:13:55,55+,Other,South,Which data tool do you prefer for analytics tasks?,Power BI,5,Strong dashboard experience
R0207,2025-02-28 09:17:46,25-34,Female,East,Which data tool do you prefer for analytics tasks?,Power BI,3,Interactive visuals are helpful
R0208,2025-03-28 19:54:03,18-24,Female,East,Which data tool do you prefer for analytics tasks?,Power BI,4,Strong dashboard experience
R0209,2025-03-17 10:53:30,18-24,Female,East,Which data tool do you prefer for analytics tasks?,Python,3,Best for data science projects
R0210,2025-02-28 10:59:59,45-54,Other,East,Which data tool do you prefer for analytics tasks?,Excel,2,Easy for quick reports
R0211,2025-01-31 13:53:06,45-54,Female,North,Which data tool do you prefer for analytics tasks?,Power BI,2,Interactive visuals are helpful
R0212,2025-03-31 10:44:56,35-44,Other,East,Which data tool do you prefer for analytics tasks?,Tableau,4,Very good for storytelling
R0213,2025-03-14 01:47:08,45-54,Female,North,Which data tool do you prefer for analytics tasks?,Power BI,4,Interactive visuals are helpful
R0214,2025-03-19 12:49:39,45-54,Female,South,Which data tool do you prefer for analytics tasks?,Excel,5,Easy for quick reports
R0215,2025-03-28 04:58:47,25-34,Other,East,Which data tool do you prefer for analytics tasks?,R,3,Useful for academic work
R0216,2025-02-09 16:02:59,18-24,Other,North,Which data tool do you prefer for analytics tasks?,Tableau,3,Very good for storytelling
R0217,2025-01-12 10:44:40,55+,Female,South,Which data tool do you prefer for analytics tasks?,R,4,Helpful for research analysis
R0218,2025-01-17 19:38:21,45-54,Male,South,Which data tool do you prefer for analytics tasks?,Excel,3,Useful for beginners
R0219,2025-04-17 05:59:27,55+,Other,East,Which data tool do you prefer for analytics tasks?,R,4,Helpful for research analysis
R0220,2025-04-13 04:11:35,45-54,Female,East,Which data tool do you prefer for analytics tasks?,Excel,4,Useful for beginners
R0221,2025-04-21 14:28:09,18-24,Male,South,Which data tool do you prefer for analytics tasks?,Excel,3,Great for day to day analysis
R0222,2025-01-02 09:37:43,35-44,Male,West,Which data tool do you prefer for analytics tasks?,Tableau,3,Fast for interactive charts
R0223,2025-03-28 09:32:42,18-24,Female,East,Which data tool do you prefer for analytics tasks?,Tableau,5,Fast for interactive charts
R0224,2025-01-14 08:30:47,45-54,Other,East,Which data tool do you prefer for analytics tasks?,R,4,Helpful for research analysis
R0225,2025-02-11 22:12:44,18-24,Other,Central,Which data tool do you prefer for analytics tasks?,Tableau,3,Very good for storytelling
R0226,2025-04-27 11:00:08,18-24,Other,West,Which data tool do you prefer for analytics tasks?,Python,2,Best for data science projects
R0227,2025-01-06 01:21:17,45-54,Male,South,Which data tool do you prefer for analytics tasks?,R,2,Helpful for research analysis
R0228,2025-01-31 19:34:17,45-54,Male,North,Which data tool do you prefer for analytics tasks?,Power BI,4,Strong dashboard experience
R0229,2025-03-27 19:40:04,45-54,Female,East,Which data tool do you prefer for analytics tasks?,Power BI,3,Useful for business reporting
R0230,2025-04-24 15:06:19,55+,Other,South,Which data tool do you prefer for analytics tasks?,Power BI,3,Interactive visuals are helpful
